ID,Happiness_Qualifier,Happiness_Disqualifier,Sadness_Qualifier,Sadness_Disqualifier,Anger_Qualifier,Anger_Disqualifier,Fear_Qualifier,Fear_Disqualifier
1,0.67,0.72,0,0.23,0,2.61,3.18,0
2,3.04,0.39,0,0.58,0,2.19,2.95,0
3,0.42,0,1.1,0.15,0,2.83,3.17,0
4,0,1.38,1.35,1.25,0,2.27,2.8,0.33
5,0.62,1.13,0.33,0.41,0,2.12,1.72,0.24
6,0.85,1,0,0.28,0,1.74,1.49,0.29
7,0.13,2.19,1.2,0.24,0,2.88,2.7,0
8,0.36,0.75,0,0.14,0,2.03,2.16,0
9,2.32,0.81,0,0.44,0,1.93,2.38,0
10,2.98,0.22,0,3.49,0,1.73,1.58,2.46
11,0.06,0,0,0.49,0,2.15,1.87,0.76
12,0,1,0,0.51,0,2.27,2.42,0
13,0.65,0,0,0.06,0,2.02,2.63,0
14,3.29,0.1,0,0.42,0,2.3,2.61,1.18
15,0.21,1,0,0,0,2.3,2.26,0
16,0.81,1,1.62,0,0,1.93,2.35,0.52
17,0,1.33,0,0.2,0,1.77,2.2,0.12
18,0,1.03,1.16,0.67,0,3.22,2.67,0
19,0,0.27,1.35,0,0,2.18,2.35,0
20,0.63,0.69,1.19,0.13,0,0.64,1.73,0
21,2.48,0,0,0.66,0.08,2.1,2.58,0
22,0,0,1.44,0,0,2.12,2.71,0
23,0.27,0.13,0.05,0.62,0,2.18,1.32,0
24,0.16,0,0,0.07,0,0.87,0.67,0.1
25,3.36,0,0,3.42,0,1.51,1.94,1.62
26,2.28,0,0,1.05,0.33,1.67,2.89,0
27,2.5,0.67,0,0.71,0,1.7,2.43,1.38
28,0.56,0,0,0,0,1.91,2.41,0
29,0.83,0,0,0.5,0,2.25,3.61,0
30,0.32,1,1.29,0,0,1.57,1.8,1.46
