Day,Time,Mood,Happiness_Qualifier,Happiness_Disqualifier,Sadness_Qualifier,Sadness_Disqualifier,Anger_Qualifier,Anger_Disqualifier,Fear_Qualifier,Fear_Disqualifier
Mon,9,Stressed,0.03,3.83,0.87,1.13,0.01,2.46,0.34,3.28
Mon,15,Stressed,0.14,4.72,2,0.45,0,2.27,0.65,3.43
Mon,21,Stressed,0,2.73,2.21,0.68,0,0.87,1.39,3.26
Tue,9,Happy,5.77,0.34,0,4.35,0,0.66,0.69,4.58
Tue,15,Happy,5.07,1.17,0,0.31,0,2.67,2.36,2.25
Tue,21,Stressed,0,2.13,0.55,0.53,0,0.66,2.27,2.14
Wed,9,Happy,5.64,0.72,0,0.64,0,0.47,1.73,4.83
Wed,15,Happy,5.76,0.94,0,4.13,0,0.85,0.97,5.82
Wed,21,Stressed,0.57,5.3,1.84,1.57,0.1,2.31,0.62,5.93
Thu,9,Happy,5.23,1.36,0.1,2.61,0,0.76,1.04,4.23
Thu,15,Stressed,0,4.31,2.28,1.82,0,2.65,0.53,5.57
Thu,21,Stressed,0.4,4.45,2.29,0.42,0,2.04,0.52,3.74
Fri,9,Happy,5.12,1.62,0,0.68,0,0.75,0.94,3.57
Fri,15,Stressed,0.73,4.68,1.97,0.46,0,2.29,0.57,5.04
Fri,21,Stressed,0.42,3.24,0.59,0.61,0.14,1.63,0.5,4.42
Sat,9,Happy,5.04,1.43,0.11,0.19,0,1.02,2.2,4.38
Sat,15,Happy,5.72,1.02,0,3.88,0,2.02,2.2,5.49
Sat,21,Happy,5.04,0.78,0.03,0.41,0,2.8,3.6,3.62
Sun,9,Happy,5.56,0.43,0,4.01,1.56,0.19,1.63,6.05
Sun,15,Happy,5.77,0.86,0,0.44,0,0.71,0.7,3.86
Sun,21,Happy,5.53,0.74,0,1.9,1.18,0.08,2.05,4.67
Mon,9,Stressed,3.42,3.63,0,2.2,0,1.89,2.15,2.75
Mon,15,Stressed,0.24,0.68,0.56,0.56,0,2.06,2.86,0.96
Mon,21,Stressed,0,2.04,2.42,0.54,0,2.71,3.3,1.77
Tue,9,Happy,4.86,1.72,0.16,0.79,0,0.5,0.73,3.68
Tue,15,Happy,6.06,0,0,4.31,0.07,0.65,0.95,5.56
Tue,21,Stressed,0.09,4.02,1.13,1.26,0.13,2.64,0.5,2.48
Wed,9,Stressed,0,4.37,2.21,0.33,0,0.71,0.27,3.69
Wed,15,Stressed,0.58,3.78,2.53,0.08,0.06,3.02,1.15,5.84
Wed,21,Stressed,0.25,0.57,0.85,0.25,0.09,1.7,2.09,2.34
